No. REPORTE;FECHA CREACIÓN DE SOLICITUD;EQUIPO;MARCA;MODELO;SERIE;ACTIVO FIJO ;SERVICIO;UBICACIÓN;DESCRIPCIÓN DE DAÑO;ACCIÓN REALIZADA;EJECUTADO POR;FECHA DE ATENCIÓN A LA SOLICITUD;ESTADO EN GMA SOPORTE;ESTADO DEL EQUIPO;OPORTUNIDAD;FECHA DE CIERRE A LA SOLICITUD;TIEMPO DE CIERRE A LA SOLICITUD;PARADA DEL EQUIPO;TIPO DE PARADA ;TIEMPO DE PARADA DEL EQUIPO;PARADA DEL SERVICIO;EQUIPO DE CONTINGENCIA;TIEMPO DE PARA DEL SERVICIO;CAUSA;ACCESORIO NUEVO?;OBSERVACIONES;COMENTARIOS ADICIONALES;ESTADO;Tiempo de Oportunidad (horas);Tiempo de Parada(dias);Capacidad_Respuesta (<3_DIA)
26269;18/3/2026;OTROS EQUIPOS BIOMÉDICOS;N/A;N/A;N/A;N/A;CUIDADO INTENSIVO PEDIÁTRICO;;"se solicita brazaletes de las siguientes referencias
6 und pequeño (s): 18 - 22 cm. 
6 und mediano (m/estándar): 22 - 32 cm.
3 und grande (l): 32 - 42 cm.
1 und extragrande (xl): 42 - 52 cm";Se realiza entrega brazalete de diferentes tamaños al servicio en buenas condiciones y nuevos. ;Victor Lopez;25/03/2026;? PTE POR CONFIRMAR;?? FUNCIONAL;0:00:00;25/03/2026;0:00:00;NO ;N/A;0;NO;N;0;FALTA DE CONSUMIBLE;SÍ;Se entregan brazaletes pediátricos diferentes tamaños al servicio nuevos;;CERRADO;168:00:00;6;FALSO
26275;18/3/2026;MONITOR DE SIGNOS VITALES ;N/A;N/A;N/A;N/A;HOSPITALIZACIÓN GINECO-OBSTETRICIA;Sala de Partos;buenas tardes, s e monta soporte para tensiometro de sala de partos;Se revisa equipos y se encuentran en buenas condiciones de funcionamiento, se verifican brazaletes y se verifican fugas. ;Victor Lopez;20/03/2026;? PTE POR CONFIRMAR;?? FUNCIONAL;0:00:00;20/03/2026;0:00:00;NO ;N/A;0;NO;N/A;0;NO PRESENTA DAÑO;NO;;;CERRADO;48:00:00;3;VERDADERO
26291;19/3/2026;OTROS EQUIPOS BIOMÉDICOS;N/A;N/A;N/A;N/A;QUIRÓFANO;;por favor revisar bipolar ya que esta dañado, gracias.;Se revisa equipo y se encuentra daño en pedal, se procede a retirar el pedal del servicio y se inicia proceso de adquisición, a la espera de repuesto ;Victor Lopez;19/3/2026;? TRABAJANDO;?? EN ESPERA DE REPUESTO;0:00:00;19/3/2026;0:00:00;NO ;N/A;0;NO;N/A;0;FALTA DE CONSUMIBLE;NO;;;CERRADO;0:00:00;1;VERDADERO
26293;19/3/2026;MONITOR DE SIGNOS VITALES ;N/A;N/A;N/A;N/A;UNIDAD CRÍTICA OBSTÉTRICA;;favor revisar termometro cubiculo 7 uci obstetrica,  gracias;Se revisa equipo y se encuentra daño en sensor de temperatura, se procede a realizar el cambio y se entrega al servicio en buenas condiciones funcionales. ;Victor Lopez;19/3/2026;? PTE POR CONFIRMAR;?? FUNCIONAL;0:00:00;19/3/2026;0:00:00;NO ;N/A;0;NO;N/A;0;DESGASTE;NO;;;CERRADO;0:00:00;1;VERDADERO
26299;19/3/2026;INCUBADORA;Draeger;ISOLETTE C-2000;CB27794;545143;CUIDADO INTENSIVO NEONATAL;;incubadora no calienta;Se revisa el equipo y se encuentra falla en módulo interno, equipo a la espera de revisión por parte del proveedor con manual de servicio;Victor Lopez;19/3/2026;? TRABAJANDO;?? FUERA DE SERVICIO;0:00:00;19/3/2026;0:00:00;SI;PARCIAL;0;NO;N/A;0;FALLA INTERNA ;NO;;;CERRADO;0:00:00;1;VERDADERO
26301;19/3/2026;GLUCÓMETRO;N/A;N/A;N/A;N/A;HOSPITALIZACIÓN GINECO-OBSTETRICIA;;se solicita revisar glucometro de ginecologia, malfuncionamiento;Se revisa equipo y presenta error interno, se le informa al personal para que soliciten nuevo equipo al área de inventario. ;Victor Lopez;19/3/2026;? PTE POR CONFIRMAR;?? FUNCIONAL;0:00:00;19/3/2026;0:00:00;NO ;N/A;0;NO;N/A;0;FALLA INTERNA ;NO;;;CERRADO;0:00:00;1;VERDADERO
26303;19/3/2026;MONITOR FETAL;Edan;F3;560034-M17910080002;550040;HOSPITALIZACIÓN GINECO-OBSTETRICIA;Sala de Partos;se solicita revisar monitor fetal en sala de partos ya que no imprime, numero de activo fijo 550040;Se revisa equipo y se encuentra daño en tarjeta de control del selector, se inicia proceso de adquisición del repuesto, equipo en taller de mantenimiento ;Victor Lopez;19/3/2026;? TRABAJANDO;?? FUERA DE SERVICIO;0:00:00;19/3/2026;0:00:00;SI;PARCIAL;0;NO;N/A;0;FALLA INTERNA ;NO;;;PENDIENTE;0:00:00;1;VERDADERO
26309;19/3/2026;FLUJÓMETRO;Gentec;FM-197B-15L-CH;18100169090;574384;HOSPITALIZACIÓN QUIRÚRGICAS;;por favor revisar flujometros de quirurgicas se encuentran en un cajon de la estacion 2  ver si funcionan o si no darles de baja mil gracias tiene fuga;Se revisa el equipo y se encuentra fuga en válvula reguladora, se procede a realizar el ajuste mecánico correspondiente y se hacen pruebas funcionales, se retorna al servicio en buenas condiciones.;Victor Lopez;20/3/2026;? PTE POR CONFIRMAR;?? FUNCIONAL;0:00:00;20/3/2026;0:00:00;NO ;N/A;0;NO;N/A;0;NO PRESENTA DAÑO;NO;;;CERRADO;24:00:00;2;VERDADERO
26322;19/3/2026;INFUSOR;N/A;N/A;N/A;N/A;CUIDADO INTENSIVO ADULTO;;infusor de la unidad de cuidados intesivos no sostiene el aire, por tal razzon se coloca el ticket, infusor en la estacion 1 de la uci;Se revisa equipo y se encuentra fuga en cámara neumática del equipo, no permite reparación, se entregan infusores nuevos al servicio. ;Victor Lopez;19/3/2026;? PTE POR CONFIRMAR;?? FUNCIONAL;0:00:00;19/3/2026;0:00:00;NO ;N/A;0;NO;N/A;0;DESGASTE;NO;;;CERRADO;0:00:00;1;VERDADERO
26329;19/3/2026;MONITOR DE SIGNOS VITALES ;Edan;M50;333123-M14102120051;545695;HOSPITALIZACIÓN GINECO-OBSTETRICIA;;hola buena noche se monta soporte para pulsoximetro de monitor de signos estacion 3 de gineco se ha montado en multiples ocasiones le realizan un remiendo y vuelve y se daña , el pulsoximetro no esta en condiciones adecuadas para su uso diario dado a la gran demanda que tenemos en ginecologia , un movimiento brusco del paciente o incluso una caida desde su puesto puede dañarlo , esta flojo , muchas gracias para revisarlo;Se revisa equipo y se encuentra daño en sensor de SPO2 adulto, no permite reparación, se procede a cambiar el sersor y se realizan pruebas funcionales, se entrega el equipo en buenas condiciones. ;Victor Lopez;20/03/2026;? PTE POR CONFIRMAR;?? FUNCIONAL;0:00:00;20/03/2026;0:00:00;NO ;N/A;0;NO;N/A;0;DESGASTE;SÍ;Se entrega sensor de SPO2 adulto nuevo al servicio con número de serie FD202510280920483;;CERRADO;24:00:00;2;VERDADERO
26330;20/3/2026;INCUBADORA;Bng Medical;EcoLa 3000;A0210518245N;572794;CUIDADO INTERMEDIO NEONATAL;;Se revisa equipo y se encuentra daño en cable de báscula, se procede a realizar el cambio de la báscula completa y se realizan pruebas funcionales, se entrega al servicio en buenas condiciones. ;se revisa equipo y se encuentra daño en cable de báscula, se procede a realizar el cambio de la báscula completa y se realizan pruebas funcionales, se entrega al servicio en buenas condiciones. ;Victor Lopez;20/3/2026;? PTE POR CONFIRMAR;?? FUNCIONAL;0:00:00;20/3/2026;0:00:00;NO ;N/A;0;NO;N/A;0;DESGASTE;NO;;;CERRADO;0:00:00;1;VERDADERO
26339;20/3/2026;CENTRÍFUGA;Clay Adams;DINAC III;4930006;544860;LABORATORIO CLÍNICO;;se requiere del traslado de la centrífuga refrigerada desde su posición actual al área de microbiología, posterior a la adecuación del mesón dende se va a ubicar;Se revisa equipo y se encuentra daño en una de las escobillas del motor, se procede a realizar el cambio de las mismas y se hacen pruebas funcionales, se entrega al servicio en buenas condiciones de funcionamiento. ;Cristian Hurtado;25/03/2026;? PTE POR CONFIRMAR;?? FUNCIONAL;0:00:00;25/03/2026;0:00:00;NO ;N/A;0;NO;N/A;0;DESGASTE;NO;;;CERRADO;120:00:00;4;FALSO
26361;20/3/2026;MONITOR DE SIGNOS VITALES ;N/A;N/A;N/A;N/A;URGENCIAS PEDIATRÍA;;buen dia , por favir revisar monitores de transporte , debido a que no sensan presion arterial , activos fijos # 573990-518909 , muchas gracias;Se revisan equipos, se realiza chequeo de fugas, se verifican mangueras y brazaletes, se verifican modos de funcionamiento y se encuentran en buenas condiciones funcionales. ;Victor Lopez;20/03/2026;? PTE POR CONFIRMAR;?? FUNCIONAL;0:00:00;20/03/2026;0:00:00;NO ;N/A;0;NO;N/A;0;DESAJUSTE;NO;;;CERRADO;0:00:00;1;VERDADERO
26372;20/3/2026;VACUTRON;Gentec;NO DEFINIDO;13D0029;545553;CUIDADO INTENSIVO ADULTO;;buenas   ,  tardes  para  reportar     un vacutron  dañado ,  uciadult0s. no  siendo  mas  gracias  por  su  atencion.;Se verifica el equipo y se realizan pruebas de presión, se realiza ajuste mecánico y se hacen pruebas funcionales, se entrega en buenas condiciones. ;Victor Lopez;20/03/2026;? PTE POR CONFIRMAR;?? FUNCIONAL;0:00:00;20/03/2026;0:00:00;NO ;N/A;0;NO;N/A;0;DESAJUSTE;NO;;;CERRADO;0:00:00;1;VERDADERO
26373;20/3/2026;OTROS EQUIPOS BIOMÉDICOS;Draeger;AGILA;ASEK-0416;545443;CUIDADO INTENSIVO ADULTO;;buenas  tardes,  para  reportar    la  torre  del cubiculo   38,   donde  se  conectan  los vacutrones,    para  revisar.  uciadult0s,   no  siendo mas  gracias  por  su  atencion  prestada.;Se revisa equipo y se hacen pruebas funcionales y de fugas en las tomas de vacío, se verifica con varios equipos y se hacen pruebas funcionales, el módulo funciona correctamente. ;Victor Lopez;20/03/2026;? PTE POR CONFIRMAR;?? FUNCIONAL;0:00:00;20/03/2026;0:00:00;NO ;N/A;0;NO;N/A;0;DESAJUSTE;NO;;;CERRADO;0:00:00;1;VERDADERO
26383;21/3/2026;MONITOR DE SIGNOS VITALES ;Mindray;BENEVIEW T5;CM-3B134866;545473;CUIDADO INTENSIVO ADULTO;Cubículo 24;se solicita mantenimiento de signos vitales del cubiculo 24 de uci adultos;Se revisa equipo y se encuentra sensor de SPO2 en malas condiciones, no permite reparación, se procede a realizar el cambio del sensor y se realizan pruebas funcionales, se entrega en buenas condiciones. ;Victor Lopez;24/03/2026;? PTE POR CONFIRMAR;?? FUNCIONAL;0:00:00;24/03/2026;0:00:00;NO ;N/A;0;NO;N/A;0;DESGASTE;SÍ;Se realiza entrega de sensor de SPO2 nuevo al servicio con número de serie FD202510280930179;;CERRADO;72:00:00;2;VERDADERO
26384;21/3/2026;MONITOR DE SIGNOS VITALES ;Mindray;BENEVIEW T5;CM-3B134865;545471;CUIDADO INTENSIVO ADULTO;;se solicita mantenimiento del termometro del monitor de signos vitales del cubiculo 22.;Se revisa equipo y se encuentra daño en sensor de temperatura, se procede a realizar el cambio y se realizan pruebas funcionales, equipo Ok. ;Victor Lopez;24/3/2026;? PTE POR CONFIRMAR;?? FUNCIONAL;0:00:00;24/3/2026;0:00:00;NO ;N/A;0;NO;N/A;0;DESGASTE;SÍ;Se entrega sensor de temperatura nuevo al servicio;;CERRADO;72:00:00;2;VERDADERO
26386;21/3/2026;MONITOR DE SIGNOS VITALES ;Mindray;BENEVIEW T5;CM-42136402;545783;CUIDADO INTERMEDIO ADULTO;;buen dia comedidamente les pido el favor y nos colaboren con el monitor de signos vitales del cubiculo # 5 de intermedios adulto el cual no censan los latiguillos en el monitor muchas gracias;Se revisa el equipo y se realizan pruebas funcionales, se verifica el estado de los accesorios y configuraciones y se encuentra en buenas condiciones. ;Victor Lopez;24/03/2026;? PTE POR CONFIRMAR;?? FUNCIONAL;0:00:00;24/03/2026;0:00:00;NO ;N/A;0;NO;N/A;0;NO PRESENTA DAÑO;NO;;;CERRADO;72:00:00;2;VERDADERO
26387;21/3/2026;MONITOR DE SIGNOS VITALES ;Mindray;BENEVIEW T5;CM-3B134866;545473;CUIDADO INTENSIVO ADULTO;;brezalete malo en la cama. 224;Se revisa equipo y se encuentra en buenas condiciones funcionales, se verifica estado de los accesorios y configuraciones. Equipo Ok. ;Victor Lopez;24/03/2026;? PTE POR CONFIRMAR;?? FUNCIONAL;0:00:00;24/03/2026;0:00:00;NO ;N/A;0;NO;N/A;0;NO PRESENTA DAÑO;NO;;;CERRADO;72:00:00;2;VERDADERO
26401;23/3/2026;VENTILADOR MECÁNICO ;Hamilton;HAMILTON C-1;25150;573190;UNIDAD CRÍTICA OBSTÉTRICA;;ventilador mecanico activo fijo 573190, escape de aire en la manguera de oxigeno;Se revisa el equipo y se encuentra fuga por la manguera de oxígeno, se procede a realizar el ajuste mecánico de la manguera y se hacen pruebas funcionales, equipo ok. ;Victor Lopez;23/3/2026;? PTE POR CONFIRMAR;?? FUNCIONAL;0:00:00;23/3/2026;0:00:00;NO ;N/A;0;NO;N/A;0;DESAJUSTE;NO;;;CERRADO;0:00:00;1;VERDADERO
26402;23/3/2026;VENTILADOR MECÁNICO ;N/A;N/A;N/A;N/A;UNIDAD CRÍTICA OBSTÉTRICA;;fallo en celda de fi02, o fallo en sensor de fi02, al aumentar fi02 por encima de 22% se activa alarma de fi02 baja y marca en celda de fi02 1% ventilador mecanico  cubiculo 5 uci obsetrica;Se revisa equipo, se realizan pruebas de funcionamiento, se verifican valores y el equipo se encuentra en buenas condiciones, se dan recomendaciones a personal asistencial. ;Victor Lopez;23/3/2026;? PTE POR CONFIRMAR;?? FUNCIONAL;0:00:00;23/3/2026;0:00:00;NO ;N/A;0;NO;N/A;0;NO PRESENTA DAÑO;NO;;;CERRADO;0:00:00;1;VERDADERO
26403;23/3/2026;GLUCÓMETRO;N/A;N/A;N/A;N/A;CUIDADO INTERMEDIO PEDIÁTRICO;;buen dia, se solicita amablemente la revisoin del  glucometro el cual se esta apagando al momento de tomar las glucometrias, esta ubicado en intermedios pediatria, gracias por la atencion y pronta colaboracion.;Se revisa el equipo y se encuentra daño interno, se le informa al personal asistencial para que soliciten un equipo nuevo a inventarios. ;Victor Lopez;23/3/2026;? PTE POR CONFIRMAR;?? FUNCIONAL;0:00:00;23/3/2026;0:00:00;NO ;N/A;0;NO;N/A;0;FALLA INTERNA ;NO;;;CERRADO;0:00:00;1;VERDADERO
26407;23/3/2026;VENTILADOR MECÁNICO ;N/A;N/A;N/A;N/A;CUIDADO INTENSIVO ADULTO;;se solicita revision de ventilador hamilton de transporte, que se recibe con aumento en ruptura en esquina superior izquierda.;Se revisa equipo y se encuentra fractura en carcasa frontal que no afecta su funcionamiento, se verifica estado funcional y parámetros, equipo Ok. ;Victor Lopez;24/3/2026;? PTE POR CONFIRMAR;?? FUNCIONAL;0:00:00;24/3/2026;0:00:00;NO ;N/A;0;NO;N/A;0;NO PRESENTA DAÑO;NO;;;CERRADO;24:00:00;2;VERDADERO
26408;23/3/2026;CAMA ELÉCTRICA;Los Pinos;1060 BC;502384;545487;CUIDADO INTENSIVO ADULTO;;cama del cubiculo numero 23 esta fallano no deja cambiar de posicion no funciona con control ni con palanca ;Se revisa cama y se encuentra daño en motor de cabecera, se procede a realizar el cambio del motor y se hacen pruebas funcionales, se entrega al servicio en buenas condiciones. ;Victor Lopez;24/3/2026;? PTE POR CONFIRMAR;?? FUNCIONAL;0:00:00;24/3/2026;0:00:00;NO ;N/A;0;NO;N/A;0;DESAJUSTE;NO;;;CERRADO;24:00:00;2;VERDADERO
26409;24/3/2026;MONITOR DE SIGNOS VITALES ;Draeger;VISTA 120 S;S2SNF4422;573316;CUIDADO INTENSIVO NEONATAL;;buen dia se soliicta revizar cables de ekg del monitor cubiculo 5 ubicado en uci neonatos ya que no marca el trazado, gracias pro su pronta colaboracion;Se revisa el equipo y se encuentra en buenas condiciones funcionales, se verifica el estado de los latiguillos y del cable de ECG, se verifica configuración.. Equipo Ok. ;Victor Lopez;24/3/2026;? PTE POR CONFIRMAR;?? FUNCIONAL;0:00:00;24/3/2026;0:00:00;NO ;N/A;0;NO;N/A;0;NO PRESENTA DAÑO;NO;;;CERRADO;0:00:00;1;VERDADERO
26410;24/3/2026;MONITOR DE SIGNOS VITALES ;Draeger;VISTA 120 S;S2SNF4442;573319;CUIDADO INTENSIVO NEONATAL;;buen dia se solicita cambiar el cable del tensiometro del cubiculo 10 uci neonatos, ya que este se ha venido recortando por que se cristaliza y no marca la tesnion aretrial, rgacias pro su colaboracion;Se revisa el equipo y se encuentra manguera en buenas condiciones funcionales, se realiza el chequeo de fugas y se verifican los conectores, el equipo funciona normal. ;Victor Lopez;24/03/2026;? PTE POR CONFIRMAR;?? FUNCIONAL;0:00:00;24/03/2026;0:00:00;NO ;N/A;0;NO;N/A;0;NO PRESENTA DAÑO;NO;;;CERRADO;0:00:00;1;VERDADERO
26413;24/3/2026;MONITOR DE SIGNOS VITALES ;N/A;N/A;N/A;N/A;CUIDADO INTENSIVO PEDIÁTRICO;;buen dia por favor solicito brazaletes de tensiometro para la uci pediatrica, no contamos con brazaletes para pacientes grandes.;Se realiza entrega de 05 brazaletes pediátricos de 1 vía nuevos a la jefe Juliana Lopez del servicio de pediatría;Victor Lopez;24/03/2026;? PTE POR CONFIRMAR;?? FUNCIONAL;0:00:00;24/03/2026;0:00:00;NO ;N/A;0;NO;N/A;0;DESGASTE;SÍ;Se entregan 05 brazaletes pediátricos nuevos al servicio de 1 vía y diferentes tamaños;;CERRADO;0:00:00;1;VERDADERO
26440;24/3/2026;MONITOR DE SIGNOS VITALES ;Draeger;VISTA 120 S;S2SNF4442;573319;CUIDADO INTENSIVO NEONATAL;;porfavor realizar cambio de sensor de temperatura de monitor de la cama 10de la uci neonatal ;Se revisa equipo y se encuentra daño en sensor de temperatura, se procede a realizar el cambio y se realizan pruebas funcionales, equipo Ok. ;Victor Lopez;24/03/2026;? PTE POR CONFIRMAR;?? FUNCIONAL;0:00:00;24/03/2026;0:00:00;NO ;N/A;0;NO;N/A;0;DESGASTE;SÍ;Se emtrega sensor de temperatura nuevo al servicio;;CERRADO;0:00:00;1;VERDADERO
26448;24/3/2026;MONITOR DE SIGNOS VITALES ;Mindray;BENEVIEW T5;CM-3B134868;545465;CUIDADO INTENSIVO ADULTO;;favor cambiar brazalete monitor cubiculo 32 y revisar pulsoximetro.;Se revisa el equipo y se encuentra daño en brazalete, se procede a realizar el cambio y se hacen pruebas funcionales. Equipo en buenas condiciones. ;Cristian Hurtado;01/04/2026;? PTE POR CONFIRMAR;?? FUNCIONAL;0:00:00;01/04/2026;0:00:00;NO ;N/A;0;NO;N/A;0;DESGASTE;NO;;;CERRADO;192:00:00;7;FALSO
26451;24/3/2026;CENTRÍFUGA;Clay Adams;DINAC III;4930006;544860;BANCO DE SANGRE;;hola, buen dia, se solicita amablemente la revision de las 2 centrifugas del banco ya que estas no estan funcionando correctamente, una no arranca y la otra tiene problemas con los numeros en el tablero ;Se revisa equipo y se encuentra daño en una de las escobillas del motor, se procede a realizar el cambio de las mismas y se hacen pruebas funcionales, se entrega al servicio en buenas condiciones de funcionamiento. ;Cristian Hurtado;25/03/2026;? PTE POR CONFIRMAR;?? FUNCIONAL;0:00:00;25/03/2026;0:00:00;NO ;N/A;0;NO;N/A;0;DESGASTE;NO;;;CERRADO;24:00:00;2;VERDADERO
26454;24/3/2026;MONITOR DE SIGNOS VITALES ;Edan;IM70;360080-M17C02250007;550042;HOSPITALIZACIÓN GINECO-OBSTETRICIA;Sala de Partos;no toma presion dinamac activo  550042;Se revisa monitor y se encuentra brazalete en mal estado, no permite reparación, se procede a realizar el cambio del mismo y se entrega uno nuevo al servicio, se realizan pruebas funcionales. Equipo OK. ;Victor Lopez;24/3/2026;? PTE POR CONFIRMAR;?? FUNCIONAL;0:00:00;24/3/2026;0:00:00;NO ;N/A;0;NO;N/A;0;DESGASTE;SÍ;Se entrega brazalete 1 vía adulto nuevo al servicio. ;;CERRADO;0:00:00;1;VERDADERO
26459;24/3/2026;OTROS EQUIPOS BIOMÉDICOS;N/A;N/A;N/A;N/A;QUIRÓFANO;;flujometro que no genera registro en el monitor y no enciende;Se revisa equipo, conexiones y accesorios, se verifica estado de funcionamiento, equipo ok. ;Victor Lopez;24/3/2026;? PTE POR CONFIRMAR;?? FUNCIONAL;0:00:00;24/3/2026;0:00:00;NO ;N/A;0;NO;N/A;0;NO PRESENTA DAÑO;NO;;;CERRADO;0:00:00;1;VERDADERO
